Timestamp;Total_Angles_x;Total_Angles_y;Head_Rotation_x;Head_Rotation_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
6.52417;-1.833477;-13.43926;-1.260651;-2.826278;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.56735;-1.836561;-13.43744;-1.261322;-2.824779;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
6.60279;-1.837285;-13.43588;-1.260803;-2.824912;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
6.63688;-1.836964;-13.43599;-1.259216;-2.825203;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.66688;-1.835562;-13.43622;-1.258728;-2.827012;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.69503;-1.835283;-13.43808;-1.260162;-2.826893;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.72200;-1.836956;-13.43796;-1.260651;-2.826535;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.75098;-1.837636;-13.43756;-1.259766;-2.826818;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.78067;-1.836786;-13.43781;-1.259247;-2.827904;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.81914;-1.836202;-13.43892;-1.26004;-2.82863;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.85291;-1.837057;-13.43964;-1.260071;-2.829313;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.90079;-1.836964;-13.44035;-1.26178;-2.829069;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.93854;-1.838897;-13.44013;-1.257141;-2.828691;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.96557;-1.833849;-13.43981;-1.26181;-2.826712;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
6.99387;-1.838562;-13.43781;-1.261169;-2.825255;(-0.30, 1.65, 0.52);(2.83, 358.74, 0.48);
7.03050;-1.837815;-13.43639;-1.260956;-2.823535;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.08038;-1.837711;-13.43468;-1.263245;-2.821184;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.48);
7.10818;-1.840539;-13.43233;-1.25943;-2.818207;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.13660;-1.836727;-13.42926;-1.261902;-2.817289;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.16613;-1.83971;-13.42828;-1.261078;-2.81743;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.19502;-1.839044;-13.42836;-1.25885;-2.818475;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.23083;-1.836612;-13.42943;-1.260315;-2.819206;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.26602;-1.838047;-13.43012;-1.261566;-2.820824;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.30776;-1.839147;-13.43182;-1.262329;-2.820774;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.33673;-1.839725;-13.43179;-1.263062;-2.820563;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.36531;-1.840499;-13.43161;-1.263611;-2.819515;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.39485;-1.841125;-13.43053;-1.261292;-2.819352;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
7.42175;-1.838539;-13.43037;-1.262024;-2.819255;(-0.30, 1.65, 0.52);(2.82, 358.74, 0.47);
