Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
2.36567;Origin: (-0.040, 1.462, 0.538), Dir: (0.434, -0.087, 0.897);Origin: (-0.102, 1.465, 0.537), Dir: (0.162, -0.122, 0.979);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.39773;Origin: (-0.040, 1.462, 0.538), Dir: (0.431, -0.089, 0.898);Origin: (-0.102, 1.465, 0.537), Dir: (0.162, -0.122, 0.979);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.43686;Origin: (-0.039, 1.462, 0.538), Dir: (0.377, -0.147, 0.914);Origin: (-0.102, 1.465, 0.537), Dir: (0.112, -0.135, 0.985);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.49573;Origin: (-0.039, 1.462, 0.538), Dir: (0.329, -0.205, 0.922);Origin: (-0.102, 1.465, 0.537), Dir: (0.055, -0.163, 0.985);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.51846;Origin: (-0.039, 1.462, 0.538), Dir: (0.316, -0.209, 0.925);Origin: (-0.102, 1.465, 0.537), Dir: (0.033, -0.170, 0.985);(-0.071, 1.463, 0.538);(0.042, -0.012, -0.027, 0.999);
2.55290;Origin: (-0.039, 1.462, 0.538), Dir: (0.312, -0.209, 0.927);Origin: (-0.102, 1.465, 0.537), Dir: (0.017, -0.161, 0.987);(-0.071, 1.463, 0.538);(0.042, -0.012, -0.027, 0.999);
2.57994;Origin: (-0.039, 1.462, 0.538), Dir: (0.169, -0.154, 0.973);Origin: (-0.102, 1.465, 0.537), Dir: (-0.133, -0.092, 0.987);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.027, 0.999);
2.61371;Origin: (-0.040, 1.462, 0.538), Dir: (0.062, -0.161, 0.985);Origin: (-0.102, 1.465, 0.537), Dir: (-0.231, -0.043, 0.972);(-0.071, 1.463, 0.538);(0.042, -0.013, -0.028, 0.999);
2.70198;Origin: (-0.040, 1.462, 0.539), Dir: (-0.081, -0.175, 0.981);Origin: (-0.103, 1.465, 0.537), Dir: (-0.461, 0.278, 0.843);(-0.071, 1.463, 0.538);(0.042, -0.014, -0.028, 0.999);
2.72723;Origin: (-0.040, 1.462, 0.539), Dir: (-0.218, -0.224, 0.950);Origin: (-0.103, 1.465, 0.537), Dir: (0.029, -0.179, 0.983);(-0.071, 1.463, 0.538);(0.042, -0.016, -0.029, 0.999);
2.76703;Origin: (-0.041, 1.462, 0.539), Dir: (-0.266, -0.232, 0.936);Origin: (-0.104, 1.465, 0.536), Dir: (0.024, -0.179, 0.984);(-0.072, 1.464, 0.538);(0.042, -0.020, -0.030, 0.998);
2.83805;Origin: (-0.041, 1.462, 0.539), Dir: (-0.299, -0.238, 0.924);Origin: (-0.104, 1.465, 0.536), Dir: (0.022, -0.178, 0.984);(-0.072, 1.464, 0.537);(0.041, -0.021, -0.030, 0.998);
2.86190;Origin: (-0.041, 1.462, 0.539), Dir: (-0.312, -0.234, 0.921);Origin: (-0.104, 1.465, 0.536), Dir: (0.014, -0.177, 0.984);(-0.073, 1.464, 0.538);(0.041, -0.022, -0.030, 0.998);
2.89453;Origin: (-0.041, 1.462, 0.539), Dir: (-0.313, -0.234, 0.920);Origin: (-0.104, 1.465, 0.536), Dir: (0.014, -0.177, 0.984);(-0.072, 1.463, 0.538);(0.042, -0.021, -0.029, 0.998);
2.92262;Origin: (-0.041, 1.461, 0.539), Dir: (-0.314, -0.234, 0.920);Origin: (-0.104, 1.465, 0.537), Dir: (0.014, -0.177, 0.984);(-0.072, 1.463, 0.538);(0.042, -0.020, -0.029, 0.998);
2.98441;Origin: (-0.041, 1.461, 0.539), Dir: (-0.315, -0.234, 0.920);Origin: (-0.104, 1.465, 0.537), Dir: (0.014, -0.177, 0.984);(-0.072, 1.463, 0.538);(0.042, -0.020, -0.029, 0.998);
