Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
2.20520;54.99515;-4.850842;(0.054, 1.681, 0.557);(-0.003, -0.054, 0.000, 0.999);
2.23412;61.89736;-9.259005;(0.055, 1.681, 0.557);(-0.003, -0.053, -0.001, 0.999);
2.26230;63.86695;-11.64793;(0.055, 1.681, 0.557);(-0.003, -0.053, -0.001, 0.999);No pattern saccade;
2.29233;64.00251;-11.96351;(0.055, 1.681, 0.557);(-0.003, -0.052, -0.001, 0.999);
2.33279;64.09584;-12.17599;(0.055, 1.681, 0.557);(-0.003, -0.052, -0.001, 0.999);
2.36241;64.36788;-12.36518;(0.056, 1.681, 0.557);(-0.004, -0.052, -0.002, 0.999);
2.39263;64.46397;-12.40161;(0.055, 1.680, 0.557);(-0.004, -0.052, -0.002, 0.999);
2.43397;64.62772;-12.52794;(0.055, 1.680, 0.558);(-0.004, -0.051, -0.002, 0.999);
2.46222;64.70102;-12.53468;(0.054, 1.680, 0.558);(-0.004, -0.051, -0.002, 0.999);
2.48896;64.75675;-12.5435;(0.054, 1.680, 0.559);(-0.004, -0.052, -0.003, 0.999);
2.51880;64.76697;-12.5433;(0.054, 1.680, 0.559);(-0.004, -0.052, -0.003, 0.999);
2.54785;61.46045;-12.89375;(0.054, 1.680, 0.559);(-0.004, -0.052, -0.003, 0.999);
2.57599;30.15052;-15.7672;(0.054, 1.680, 0.559);(-0.004, -0.052, -0.003, 0.999);
2.60417;15.11923;-21.03407;(0.054, 1.680, 0.559);(-0.004, -0.052, -0.003, 0.999);Pattern 1 saccade;
2.63496;1.906871;-22.86822;(0.055, 1.680, 0.558);(-0.004, -0.053, -0.003, 0.999);No pattern saccade;
2.66130;-6.358588;-27.97915;(0.055, 1.680, 0.558);(-0.003, -0.054, -0.003, 0.999);Pattern 1 saccade;
2.68971;-14.28074;-36.92193;(0.056, 1.680, 0.557);(-0.002, -0.057, -0.003, 0.998);No pattern saccade;
2.71943;-16.32819;-42.86752;(0.056, 1.679, 0.557);(-0.001, -0.062, -0.002, 0.998);No pattern saccade;
2.74630;-25.41962;-53.06343;(0.056, 1.678, 0.557);(0.000, 0.070, 0.002, -0.998);No pattern saccade;
2.77587;-29.5851;-60.33782;(0.055, 1.677, 0.557);(-0.002, 0.075, 0.002, -0.997);No pattern saccade;
2.80579;-31.65441;-61.95312;(0.055, 1.676, 0.557);(-0.003, 0.079, 0.002, -0.997);No pattern saccade;
2.83490;-29.85818;-66.9986;(0.053, 1.676, 0.557);(-0.005, 0.080, 0.002, -0.997);
2.86275;-30.27005;-67.33431;(0.052, 1.676, 0.557);(-0.006, 0.079, 0.002, -0.997);No pattern saccade;
2.88896;-30.50456;-67.51817;(0.051, 1.675, 0.557);(-0.007, 0.077, 0.001, -0.997);
2.91821;-30.61432;-67.59784;(0.050, 1.675, 0.557);(-0.008, 0.074, 0.001, -0.997);
2.94892;-30.3998;-67.7235;(0.050, 1.675, 0.557);(-0.009, 0.072, 0.001, -0.997);
2.97757;-30.4285;-67.79173;(0.049, 1.675, 0.556);(-0.009, 0.071, 0.000, -0.997);
3.00325;-30.21862;-67.94544;(0.049, 1.675, 0.556);(-0.010, 0.072, 0.000, -0.997);
3.04741;-30.20663;-68.03199;(0.049, 1.675, 0.556);(-0.010, 0.072, 0.000, -0.997);
3.07789;-29.92478;-68.70145;(0.048, 1.675, 0.556);(-0.010, 0.073, 0.000, -0.997);
3.10405;-30.01763;-68.53439;(0.048, 1.675, 0.557);(-0.010, 0.073, 0.000, -0.997);
3.13454;-30.20039;-68.533;(0.047, 1.675, 0.557);(-0.010, 0.072, 0.000, -0.997);
3.16080;-30.33511;-68.47807;(0.047, 1.675, 0.557);(-0.010, 0.072, 0.000, -0.997);
3.19079;-30.53185;-68.52594;(0.047, 1.675, 0.557);(-0.010, 0.071, 0.000, -0.997);
3.21919;-30.5704;-68.51949;(0.046, 1.675, 0.557);(-0.010, 0.070, 0.000, -0.998);
3.24674;-30.90194;-68.77498;(0.046, 1.675, 0.557);(-0.010, 0.070, 0.000, -0.998);
3.27462;-31.25342;-68.84096;(0.046, 1.676, 0.558);(-0.010, 0.070, 0.000, -0.997);
3.30367;-31.68116;-68.84602;(0.046, 1.676, 0.558);(-0.010, 0.071, 0.000, -0.997);
3.33312;-43.11786;-47.27164;(0.046, 1.676, 0.558);(-0.010, 0.071, 0.000, -0.997);
3.36634;-50.4289;-23.84821;(0.046, 1.677, 0.558);(-0.010, 0.072, 0.000, -0.997);No pattern saccade;
3.40439;-54.6083;-18.06987;(0.046, 1.677, 0.558);(-0.010, 0.074, 0.000, -0.997);No pattern saccade;
3.43327;-64.06326;-6.565424;(0.046, 1.677, 0.558);(-0.010, 0.076, 0.000, -0.997);No pattern saccade;
3.46201;-70.70887;-4.383369;(0.046, 1.677, 0.558);(-0.010, 0.078, 0.000, -0.997);No pattern saccade;
3.49093;-74.27025;-5.162148;(0.046, 1.677, 0.558);(-0.010, 0.079, 0.000, -0.997);Pattern 1 saccade;
3.52235;-78.28154;-7.439818;(0.046, 1.677, 0.558);(-0.009, 0.081, 0.000, -0.997);
3.56229;-78.78833;-7.870045;(0.046, 1.678, 0.558);(-0.009, 0.083, 0.000, -0.996);No pattern saccade;
3.59108;-78.79875;-7.887482;(0.045, 1.678, 0.558);(-0.009, 0.086, 0.001, -0.996);
3.62007;-78.9215;-7.819276;(0.045, 1.678, 0.558);(-0.009, 0.087, 0.001, -0.996);
3.64680;-79.17113;-7.590021;(0.045, 1.678, 0.558);(-0.009, 0.088, 0.000, -0.996);
3.67607;-79.30443;-7.467924;(0.045, 1.678, 0.558);(-0.009, 0.089, 0.000, -0.996);
3.70460;-79.47298;-7.350732;(0.045, 1.678, 0.558);(-0.009, 0.088, 0.000, -0.996);
3.73560;-79.65575;-7.274787;(0.045, 1.678, 0.558);(-0.009, 0.088, 0.000, -0.996);
3.76102;-79.70155;-7.255478;(0.045, 1.678, 0.558);(-0.009, 0.087, 0.000, -0.996);
3.78969;-79.71906;-7.229926;(0.045, 1.678, 0.558);(-0.009, 0.086, -0.001, -0.996);
3.81834;-79.71536;-7.19904;(0.045, 1.678, 0.558);(-0.009, 0.086, -0.001, -0.996);
3.84658;-65.38593;-2.929461;(0.045, 1.678, 0.558);(-0.009, 0.085, -0.001, -0.996);
3.87564;-40.91146;5.047414;(0.045, 1.678, 0.558);(-0.009, 0.085, -0.001, -0.996);Pattern 1 saccade;
3.90400;-14.35233;13.78404;(0.045, 1.678, 0.558);(-0.009, 0.085, -0.001, -0.996);Pattern 1 saccade;
3.94807;-5.476758;16.06284;(0.045, 1.678, 0.558);(-0.009, 0.084, -0.001, -0.996);Pattern 1 saccade;
3.97950;14.87213;19.42766;(0.045, 1.678, 0.558);(-0.009, 0.083, -0.001, -0.996);Pattern 1 saccade;
4.01903;17.42004;18.60361;(0.045, 1.678, 0.558);(-0.009, 0.083, -0.001, -0.997);Pattern 1 saccade;
4.06178;17.41166;18.3012;(0.046, 1.678, 0.558);(-0.008, 0.082, -0.002, -0.997);
4.09135;16.61167;16.63346;(0.046, 1.678, 0.558);(-0.008, 0.083, -0.002, -0.997);
4.11880;16.60973;16.63389;(0.045, 1.678, 0.558);(-0.008, 0.084, -0.002, -0.996);
4.14857;16.73747;16.49341;(0.045, 1.678, 0.558);(-0.008, 0.084, -0.002, -0.996);
4.17988;16.66722;16.48114;(0.046, 1.678, 0.558);(-0.008, 0.085, -0.002, -0.996);
4.21861;16.33171;16.16899;(0.046, 1.678, 0.558);(-0.008, 0.085, -0.002, -0.996);
4.24676;15.96384;16.07669;(0.046, 1.678, 0.558);(-0.008, 0.084, -0.002, -0.996);
4.27589;8.046765;19.00492;(0.046, 1.678, 0.558);(-0.008, 0.083, -0.002, -0.996);
4.30354;-5.947245;26.31774;(0.046, 1.678, 0.558);(-0.008, 0.083, -0.002, -0.997);No pattern saccade;
4.33221;-16.42456;29.54148;(0.046, 1.677, 0.558);(-0.008, 0.083, -0.002, -0.996);No pattern saccade;
4.36361;-24.46511;31.30134;(0.046, 1.677, 0.558);(-0.008, 0.084, -0.002, -0.996);Pattern 1 saccade;
4.40728;-35.1507;32.95113;(0.046, 1.677, 0.558);(-0.007, 0.084, -0.002, -0.996);Pattern 1 saccade;
4.43395;-38.06091;33.73604;(0.046, 1.676, 0.557);(-0.007, 0.084, -0.002, -0.996);Pattern 1 saccade;
4.46095;-40.68719;33.74402;(0.047, 1.676, 0.557);(-0.007, 0.084, -0.002, -0.996);
4.48921;-40.80806;33.81698;(0.047, 1.676, 0.557);(-0.006, 0.084, -0.002, -0.996);
4.51846;-41.02868;33.73761;(0.047, 1.676, 0.557);(-0.006, 0.083, -0.002, -0.996);
4.54877;-41.06964;33.68626;(0.046, 1.676, 0.557);(-0.007, 0.083, -0.002, -0.997);
4.57600;-41.13093;33.55438;(0.046, 1.675, 0.557);(-0.007, 0.083, -0.002, -0.997);
4.60693;-41.12806;33.54483;(0.046, 1.675, 0.557);(-0.006, 0.083, -0.002, -0.997);
4.64636;-41.10981;33.52349;(0.046, 1.675, 0.557);(-0.006, 0.083, -0.002, -0.997);
4.67625;-37.29231;23.45592;(0.046, 1.675, 0.557);(-0.006, 0.083, -0.002, -0.997);
4.70449;-36.60857;16.26189;(0.046, 1.675, 0.557);(-0.006, 0.083, -0.002, -0.997);No pattern saccade;
4.73280;-36.33379;15.93781;(0.046, 1.675, 0.557);(-0.006, 0.083, -0.002, -0.997);No pattern saccade;
4.76135;-30.40094;11.2576;(0.046, 1.675, 0.557);(-0.007, 0.083, -0.002, -0.997);
4.78952;-17.60966;-6.122903;(0.046, 1.675, 0.557);(-0.007, 0.083, -0.002, -0.997);No pattern saccade;
4.82273;-7.971782;-27.09489;(0.046, 1.675, 0.557);(-0.008, 0.083, -0.002, -0.997);No pattern saccade;
4.86153;-5.229781;-38.79823;(0.046, 1.675, 0.557);(-0.009, 0.083, -0.002, -0.997);No pattern saccade;
4.88987;-4.875665;-56.5072;(0.046, 1.675, 0.557);(-0.009, 0.084, -0.002, -0.996);No pattern saccade;
4.92101;-4.721695;-59.33127;(0.047, 1.675, 0.557);(-0.009, 0.084, -0.002, -0.996);No pattern saccade;
4.94740;-4.869867;-59.51128;(0.047, 1.675, 0.557);(-0.009, 0.084, -0.002, -0.996);
4.97604;-4.926865;-59.64394;(0.047, 1.675, 0.557);(-0.009, 0.083, -0.002, -0.996);
5.00445;-4.947806;-59.74281;(0.047, 1.675, 0.557);(-0.009, 0.083, -0.002, -0.997);
5.05037;-5.023401;-59.72679;(0.047, 1.675, 0.557);(-0.009, 0.083, -0.002, -0.997);
5.09109;-5.571892;-59.21069;(0.047, 1.675, 0.557);(-0.009, 0.083, -0.002, -0.997);
5.11951;-5.9029;-58.56831;(0.047, 1.675, 0.557);(-0.009, 0.083, -0.003, -0.997);
5.14683;-6.910058;-58.19245;(0.047, 1.675, 0.557);(-0.010, 0.083, -0.003, -0.997);
5.17678;-7.273276;-57.9607;(0.047, 1.675, 0.557);(-0.010, 0.081, -0.004, -0.997);
5.20534;-7.376015;-57.82606;(0.047, 1.674, 0.557);(-0.011, 0.079, -0.005, -0.997);
5.23359;-7.466107;-57.72897;(0.047, 1.674, 0.557);(-0.012, 0.076, -0.006, -0.997);
5.26132;-7.556563;-57.67663;(0.047, 1.674, 0.557);(-0.014, 0.071, -0.006, -0.997);
5.29049;-7.772614;-57.01205;(0.047, 1.673, 0.557);(-0.017, 0.065, -0.008, -0.998);
5.31883;-7.808264;-56.40184;(0.047, 1.672, 0.558);(-0.022, 0.058, -0.010, -0.998);
5.34640;-7.139516;-56.42414;(0.047, 1.670, 0.558);(-0.026, 0.050, -0.011, -0.998);
5.37495;-5.593129;-56.90383;(0.047, 1.668, 0.559);(-0.032, 0.043, -0.013, -0.998);
5.40386;-6.031171;-55.78445;(0.046, 1.667, 0.561);(-0.037, 0.038, -0.014, -0.998);
5.43299;0.9243899;-60.43439;(0.046, 1.664, 0.563);(-0.038, 0.034, -0.017, -0.999);
5.46006;1.593338;-62.27586;(0.046, 1.663, 0.564);(-0.034, 0.029, -0.020, -0.999);No pattern saccade;
5.48977;2.514761;-64.31835;(0.045, 1.661, 0.566);(-0.021, 0.024, -0.023, -0.999);
5.51880;7.679782;-58.37417;(0.045, 1.659, 0.568);(-0.002, -0.020, 0.027, 0.999);
5.54611;8.925457;-52.60555;(0.044, 1.658, 0.570);(-0.031, -0.015, 0.030, 0.999);No pattern saccade;
5.57607;9.859175;-45.30047;(0.042, 1.656, 0.572);(-0.064, -0.012, 0.030, 0.997);No pattern saccade;
5.60483;10.34587;-37.37258;(0.041, 1.655, 0.574);(-0.087, -0.010, 0.028, 0.996);No pattern saccade;
5.63291;10.39898;-31.84301;(0.039, 1.655, 0.575);(-0.109, -0.010, 0.025, 0.994);No pattern saccade;
5.66234;10.00601;-26.51449;(0.038, 1.655, 0.575);(-0.123, -0.010, 0.022, 0.992);No pattern saccade;
5.69005;9.660149;-23.12885;(0.038, 1.655, 0.575);(-0.133, -0.009, 0.020, 0.991);No pattern saccade;
5.71869;9.637648;-20.50563;(0.037, 1.654, 0.574);(-0.142, -0.007, 0.019, 0.990);
5.74633;9.897068;-18.19596;(0.037, 1.653, 0.573);(-0.149, -0.004, 0.019, 0.989);
5.77923;10.48382;-16.61345;(0.037, 1.652, 0.572);(-0.153, -0.003, 0.019, 0.988);
5.80406;10.90881;-15.70265;(0.036, 1.652, 0.571);(-0.155, -0.002, 0.019, 0.988);
5.83197;11.13928;-15.16803;(0.036, 1.653, 0.569);(-0.157, -0.001, 0.018, 0.988);
5.87472;11.2302;-14.89493;(0.036, 1.655, 0.568);(-0.157, -0.001, 0.018, 0.987);
5.90724;11.34256;-14.8109;(0.035, 1.655, 0.564);(-0.156, -0.001, 0.017, 0.988);
5.93437;11.26835;-15.07648;(0.035, 1.656, 0.562);(-0.155, -0.001, 0.017, 0.988);
5.95992;11.11213;-15.24455;(0.035, 1.657, 0.560);(-0.155, -0.002, 0.016, 0.988);
5.98862;10.99151;-15.30089;(0.034, 1.658, 0.560);(-0.155, -0.002, 0.016, 0.988);
6.01845;10.84259;-15.27503;(0.034, 1.658, 0.559);(-0.155, -0.003, 0.015, 0.988);
6.05983;10.68647;-15.26036;(0.033, 1.659, 0.558);(-0.156, -0.003, 0.015, 0.988);
6.09005;10.55656;-15.23686;(0.033, 1.659, 0.558);(-0.156, -0.004, 0.014, 0.988);
6.11784;10.4026;-15.23715;(0.033, 1.660, 0.558);(-0.155, -0.004, 0.014, 0.988);
6.14580;10.35783;-15.26421;(0.033, 1.660, 0.558);(-0.155, -0.004, 0.014, 0.988);
6.17658;10.31803;-15.27304;(0.032, 1.660, 0.558);(-0.155, -0.004, 0.014, 0.988);
6.20274;10.1969;-15.3555;(0.032, 1.660, 0.558);(-0.155, -0.005, 0.013, 0.988);
6.23238;10.07042;-15.45216;(0.032, 1.660, 0.558);(-0.154, -0.005, 0.013, 0.988);
6.26043;9.986601;-15.5406;(0.032, 1.660, 0.559);(-0.154, -0.005, 0.013, 0.988);
6.28902;9.959601;-15.70511;(0.032, 1.660, 0.559);(-0.153, -0.005, 0.013, 0.988);
6.31883;9.929306;-15.81938;(0.032, 1.660, 0.559);(-0.153, -0.005, 0.013, 0.988);
6.34553;9.909196;-15.95369;(0.032, 1.660, 0.559);(-0.152, -0.005, 0.013, 0.988);
6.37545;9.876849;-16.06071;(0.031, 1.660, 0.559);(-0.152, -0.006, 0.013, 0.988);
6.40354;9.799714;-16.14818;(0.031, 1.660, 0.559);(-0.151, -0.006, 0.013, 0.988);
6.43342;9.746135;-16.27019;(0.031, 1.659, 0.559);(-0.150, -0.006, 0.012, 0.989);
6.46165;9.745739;-16.58579;(0.031, 1.659, 0.560);(-0.149, -0.006, 0.012, 0.989);
6.49015;9.764178;-16.98219;(0.031, 1.659, 0.560);(-0.147, -0.006, 0.012, 0.989);
6.51949;9.790485;-17.31655;(0.031, 1.659, 0.560);(-0.145, -0.006, 0.012, 0.989);
6.54779;9.775664;-17.7536;(0.031, 1.659, 0.560);(-0.145, -0.007, 0.012, 0.989);
6.57566;9.581398;-17.92382;(0.031, 1.658, 0.561);(-0.144, -0.008, 0.011, 0.989);
6.60386;9.273253;-18.12118;(0.031, 1.657, 0.561);(-0.142, -0.008, 0.010, 0.990);
6.63135;9.059874;-18.54435;(0.031, 1.657, 0.562);(-0.141, -0.009, 0.009, 0.990);
6.66026;8.915755;-18.80647;(0.031, 1.656, 0.562);(-0.140, -0.009, 0.008, 0.990);
6.69026;8.599442;-19.09931;(0.031, 1.655, 0.562);(-0.137, -0.011, 0.005, 0.990);
6.71889;7.944821;-19.84759;(0.031, 1.654, 0.561);(-0.129, -0.013, 0.003, 0.992);
6.74700;7.38972;-22.11494;(0.031, 1.653, 0.561);(-0.114, -0.014, 0.003, 0.993);
6.77673;7.29323;-25.86065;(0.031, 1.653, 0.562);(-0.100, -0.016, 0.002, 0.995);
6.80409;6.741972;-29.21159;(0.032, 1.652, 0.563);(-0.097, -0.018, 0.004, 0.995);
6.83274;6.496048;-29.83073;(0.032, 1.649, 0.562);(-0.094, -0.015, 0.006, 0.995);
6.86004;7.243721;-30.79023;(0.032, 1.648, 0.562);(-0.082, -0.012, 0.007, 0.997);
6.89039;8.13999;-33.77453;(0.033, 1.649, 0.561);(-0.072, -0.006, 0.008, 0.997);
6.91951;9.624115;-36.1925;(0.034, 1.650, 0.560);(-0.066, -0.002, 0.010, 0.998);
6.94701;10.60778;-37.55025;(0.036, 1.651, 0.559);(-0.064, 0.000, 0.010, 0.998);
6.97411;11.14958;-38.09837;(0.037, 1.651, 0.557);(-0.059, 0.001, 0.010, 0.998);
7.00568;11.54804;-39.27834;(0.038, 1.651, 0.555);(-0.053, 0.002, 0.010, 0.999);
7.06062;11.79715;-40.74849;(0.039, 1.652, 0.553);(-0.044, 0.001, 0.012, 0.999);
7.09070;-6.431962;-13.60049;(0.040, 1.653, 0.551);(-0.026, -0.005, 0.013, 1.000);
7.12041;-7.531947;-18.3095;(0.041, 1.654, 0.550);(-0.019, -0.009, 0.014, 1.000);No pattern saccade;
7.16199;4.774059;-22.26337;(0.042, 1.654, 0.549);(-0.017, -0.011, 0.013, 1.000);No pattern saccade;
7.19083;1.912807;-30.41662;(0.043, 1.655, 0.548);(-0.020, -0.010, 0.014, 1.000);Pattern 1 saccade;
7.21900;11.39851;-0.2044617;(0.044, 1.656, 0.546);(-0.025, -0.008, 0.017, 1.000);No pattern saccade;
7.24704;13.87919;10.12586;(0.045, 1.657, 0.545);(-0.031, -0.005, 0.016, 0.999);No pattern saccade;
7.27603;15.03906;12.83383;(0.045, 1.658, 0.543);(-0.036, -0.003, 0.016, 0.999);No pattern saccade;
7.30335;15.12156;13.20274;(0.045, 1.659, 0.542);(-0.039, -0.003, 0.015, 0.999);
7.33499;15.38683;13.46333;(0.045, 1.660, 0.540);(-0.041, -0.003, 0.014, 0.999);
7.36257;14.78684;18.23005;(0.045, 1.661, 0.539);(-0.043, -0.004, 0.014, 0.999);
7.39067;11.66354;29.71143;(0.046, 1.662, 0.538);(-0.045, -0.004, 0.014, 0.999);No pattern saccade;
7.41927;11.54255;34.03619;(0.046, 1.662, 0.537);(-0.046, -0.004, 0.014, 0.999);No pattern saccade;
7.44801;11.60132;37.644;(0.046, 1.662, 0.537);(-0.045, -0.003, 0.014, 0.999);No pattern saccade;
7.47583;11.7818;39.63549;(0.046, 1.662, 0.536);(-0.045, -0.003, 0.013, 0.999);
7.50481;12.01977;41.49801;(0.046, 1.662, 0.536);(-0.045, -0.003, 0.013, 0.999);
7.53643;12.08487;42.69439;(0.046, 1.662, 0.535);(-0.045, -0.004, 0.012, 0.999);
7.57598;12.1289;43.66081;(0.046, 1.662, 0.535);(-0.045, -0.004, 0.012, 0.999);
7.60627;12.03055;44.42636;(0.046, 1.662, 0.534);(-0.045, -0.004, 0.011, 0.999);
7.64616;11.96986;45.76098;(0.046, 1.662, 0.534);(-0.046, -0.004, 0.011, 0.999);
7.67661;11.81108;47.12639;(0.046, 1.663, 0.534);(-0.047, -0.005, 0.010, 0.999);
7.71930;2.594864;59.54148;(0.046, 1.663, 0.534);(-0.047, -0.005, 0.010, 0.999);
7.74721;-2.530087;62.83869;(0.046, 1.663, 0.534);(-0.048, -0.005, 0.010, 0.999);No pattern saccade;
7.77642;-4.643637;64.29547;(0.046, 1.663, 0.534);(-0.048, -0.005, 0.010, 0.999);No pattern saccade;
7.80399;-5.784371;65.09177;(0.046, 1.663, 0.535);(-0.048, -0.005, 0.010, 0.999);
7.83351;-5.64408;71.76766;(0.046, 1.663, 0.535);(-0.048, -0.005, 0.010, 0.999);
7.86150;-11.84127;73.59849;(0.046, 1.663, 0.535);(-0.048, -0.006, 0.009, 0.999);No pattern saccade;
7.88991;-18.52625;72.80595;(0.045, 1.663, 0.535);(-0.047, -0.006, 0.008, 0.999);Pattern 1 saccade;
7.91917;-18.8447;72.43948;(0.045, 1.663, 0.536);(-0.047, -0.007, 0.007, 0.999);Pattern 1 saccade;
7.94892;-17.49856;77.01563;(0.045, 1.663, 0.535);(-0.046, -0.008, 0.006, 0.999);
7.97779;-19.92441;72.71761;(0.047, 1.663, 0.535);(-0.045, -0.008, 0.005, 0.999);No pattern saccade;
8.00500;-20.20811;72.6385;(0.047, 1.663, 0.534);(-0.044, -0.008, 0.005, 0.999);No pattern saccade;
8.04640;-21.0507;72.58892;(0.047, 1.663, 0.535);(-0.044, -0.008, 0.004, 0.999);
8.07601;-9.158766;74.06857;(0.047, 1.663, 0.535);(-0.044, -0.008, 0.004, 0.999);
8.10420;16.88325;71.61713;(0.047, 1.663, 0.535);(-0.044, -0.008, 0.004, 0.999);Pattern 1 saccade;
