1.49233;Origin: (-0.085, 1.439, 0.562), Dir: (-0.110, -0.398, 0.911);Origin: (-0.146, 1.437, 0.547), Dir: (-0.326, -0.403, 0.855);(-0.116, 1.438, 0.555);(-0.127, 0.117, -0.029, -0.985);
1.51755;Origin: (-0.088, 1.443, 0.559), Dir: (-0.131, -0.372, 0.919);Origin: (-0.149, 1.441, 0.543), Dir: (-0.326, -0.411, 0.851);(-0.119, 1.442, 0.551);(-0.113, 0.125, -0.033, -0.985);
1.54528;Origin: (-0.091, 1.447, 0.556), Dir: (-0.151, -0.338, 0.929);Origin: (-0.151, 1.444, 0.539), Dir: (-0.375, -0.269, 0.887);(-0.121, 1.446, 0.547);(-0.101, 0.132, -0.038, -0.985);
1.57454;Origin: (-0.093, 1.449, 0.554), Dir: (-0.165, -0.311, 0.936);Origin: (-0.154, 1.445, 0.537), Dir: (-0.381, -0.257, 0.888);(-0.124, 1.447, 0.545);(-0.095, 0.135, -0.045, -0.985);
1.60383;Origin: (-0.096, 1.451, 0.552), Dir: (-0.167, -0.307, 0.937);Origin: (-0.156, 1.446, 0.534), Dir: (-0.382, -0.255, 0.888);(-0.126, 1.449, 0.543);(-0.088, 0.139, -0.049, -0.985);
1.63317;Origin: (-0.096, 1.455, 0.548), Dir: (-0.168, -0.307, 0.937);Origin: (-0.157, 1.450, 0.530), Dir: (-0.379, -0.386, 0.841);(-0.127, 1.452, 0.539);(-0.075, 0.143, -0.050, -0.986);
1.66324;Origin: (-0.098, 1.458, 0.545), Dir: (-0.180, -0.281, 0.943);Origin: (-0.158, 1.453, 0.526), Dir: (-0.452, -0.273, 0.849);(-0.128, 1.456, 0.535);(-0.061, 0.148, -0.051, -0.986);
1.69032;Origin: (-0.099, 1.462, 0.541), Dir: (-0.187, -0.250, 0.950);Origin: (-0.159, 1.457, 0.521), Dir: (-0.448, -0.271, 0.852);(-0.129, 1.459, 0.531);(-0.048, 0.153, -0.052, -0.986);
1.72013;Origin: (-0.101, 1.465, 0.537), Dir: (-0.118, -0.296, 0.948);Origin: (-0.160, 1.459, 0.517), Dir: (-0.448, -0.245, 0.860);(-0.130, 1.462, 0.527);(-0.036, 0.160, -0.053, -0.985);
1.74786;Origin: (-0.101, 1.467, 0.535), Dir: (-0.147, -0.253, 0.956);Origin: (-0.160, 1.461, 0.514), Dir: (-0.450, -0.231, 0.863);(-0.131, 1.464, 0.525);(-0.029, 0.166, -0.050, -0.984);
1.77830;Origin: (-0.102, 1.468, 0.534), Dir: (-0.150, -0.255, 0.955);Origin: (-0.161, 1.462, 0.513), Dir: (-0.450, -0.221, 0.865);(-0.131, 1.465, 0.524);(-0.026, 0.170, -0.048, -0.984);
1.80569;Origin: (-0.103, 1.468, 0.534), Dir: (-0.177, -0.247, 0.953);Origin: (-0.162, 1.463, 0.512), Dir: (-0.451, -0.215, 0.866);(-0.132, 1.465, 0.523);(-0.025, 0.175, -0.048, -0.983);
1.83273;Origin: (-0.104, 1.468, 0.533), Dir: (-0.255, -0.121, 0.959);Origin: (-0.162, 1.463, 0.511), Dir: (-0.454, -0.217, 0.864);(-0.133, 1.466, 0.522);(-0.023, 0.178, -0.048, -0.983);
1.86274;Origin: (-0.105, 1.469, 0.533), Dir: (-0.255, -0.121, 0.959);Origin: (-0.163, 1.463, 0.510), Dir: (-0.455, -0.217, 0.864);(-0.134, 1.466, 0.521);(-0.023, 0.181, -0.049, -0.982);
1.89208;Origin: (-0.106, 1.469, 0.532), Dir: (-0.258, -0.121, 0.959);Origin: (-0.164, 1.463, 0.509), Dir: (-0.492, -0.183, 0.851);(-0.135, 1.466, 0.521);(-0.021, 0.185, -0.050, -0.981);
1.91992;Origin: (-0.106, 1.469, 0.532), Dir: (-0.235, -0.214, 0.948);Origin: (-0.164, 1.464, 0.508), Dir: (-0.495, -0.152, 0.856);(-0.135, 1.467, 0.520);(-0.020, 0.188, -0.047, -0.981);
1.94842;Origin: (-0.106, 1.469, 0.531), Dir: (-0.241, -0.209, 0.948);Origin: (-0.164, 1.464, 0.508), Dir: (-0.498, -0.147, 0.855);(-0.135, 1.467, 0.520);(-0.019, 0.191, -0.045, -0.980);
1.97705;Origin: (-0.106, 1.469, 0.532), Dir: (-0.243, -0.199, 0.949);Origin: (-0.164, 1.464, 0.508), Dir: (-0.500, -0.144, 0.854);(-0.135, 1.466, 0.520);(-0.021, 0.194, -0.043, -0.980);
2.00530;Origin: (-0.106, 1.468, 0.533), Dir: (-0.288, -0.136, 0.948);Origin: (-0.164, 1.464, 0.508), Dir: (-0.516, -0.087, 0.852);(-0.135, 1.466, 0.520);(-0.023, 0.196, -0.041, -0.979);
2.04344;Origin: (-0.106, 1.469, 0.532), Dir: (-0.296, -0.127, 0.947);Origin: (-0.164, 1.464, 0.508), Dir: (-0.512, -0.066, 0.857);(-0.135, 1.466, 0.520);(-0.022, 0.197, -0.040, -0.979);
2.07653;Origin: (-0.106, 1.469, 0.532), Dir: (-0.290, -0.127, 0.949);Origin: (-0.164, 1.465, 0.507), Dir: (-0.510, -0.067, 0.857);(-0.135, 1.467, 0.519);(-0.020, 0.198, -0.039, -0.979);
2.10358;Origin: (-0.105, 1.469, 0.532), Dir: (-0.291, -0.126, 0.948);Origin: (-0.163, 1.465, 0.507), Dir: (-0.509, -0.070, 0.858);(-0.134, 1.467, 0.519);(-0.019, 0.198, -0.037, -0.979);
2.13392;Origin: (-0.104, 1.470, 0.532), Dir: (-0.293, -0.123, 0.948);Origin: (-0.162, 1.466, 0.507), Dir: (-0.506, -0.070, 0.860);(-0.133, 1.468, 0.520);(-0.019, 0.196, -0.034, -0.980);
2.16238;Origin: (-0.102, 1.469, 0.532), Dir: (-0.194, -0.076, 0.978);Origin: (-0.161, 1.466, 0.508), Dir: (-0.462, -0.073, 0.884);(-0.132, 1.468, 0.520);(-0.020, 0.193, -0.032, -0.980);
2.19157;Origin: (-0.101, 1.469, 0.533), Dir: (-0.096, -0.105, 0.990);Origin: (-0.159, 1.466, 0.510), Dir: (-0.367, -0.110, 0.924);(-0.130, 1.467, 0.521);(-0.021, 0.187, -0.031, -0.982);
2.21997;Origin: (-0.099, 1.469, 0.534), Dir: (0.025, -0.105, 0.994);Origin: (-0.158, 1.465, 0.511), Dir: (-0.286, -0.131, 0.949);(-0.128, 1.467, 0.523);(-0.022, 0.179, -0.032, -0.983);
2.24872;Origin: (-0.096, 1.468, 0.535), Dir: (0.100, -0.114, 0.988);Origin: (-0.156, 1.465, 0.514), Dir: (-0.207, -0.168, 0.964);(-0.126, 1.467, 0.524);(-0.024, 0.168, -0.032, -0.985);
2.27694;Origin: (-0.094, 1.468, 0.535), Dir: (0.201, -0.181, 0.963);Origin: (-0.154, 1.464, 0.516), Dir: (-0.107, -0.249, 0.963);(-0.124, 1.466, 0.526);(-0.027, 0.158, -0.033, -0.987);
2.30524;Origin: (-0.091, 1.467, 0.537), Dir: (0.259, -0.260, 0.930);Origin: (-0.151, 1.464, 0.518), Dir: (-0.070, -0.303, 0.950);(-0.121, 1.465, 0.527);(-0.029, 0.146, -0.032, -0.988);
2.33274;Origin: (-0.088, 1.467, 0.537), Dir: (0.296, -0.263, 0.918);Origin: (-0.148, 1.463, 0.520), Dir: (-0.016, -0.308, 0.951);(-0.118, 1.465, 0.529);(-0.031, 0.134, -0.032, -0.990);
