Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
4.16270;-1.939565;-5.512482;(0.088, 1.673, 0.478);(-0.095, -0.005, -0.019, 0.995);
4.20408;-1.746316;-4.23624;(0.089, 1.674, 0.477);(-0.096, -0.005, -0.020, 0.995);No pattern saccade;
4.23159;-1.869617;-3.628087;(0.090, 1.675, 0.474);(-0.097, -0.006, -0.019, 0.995);
4.25924;-2.12581;-3.19452;(0.091, 1.676, 0.473);(-0.097, -0.007, -0.018, 0.995);
4.29191;-2.263898;-3.093898;(0.091, 1.676, 0.471);(-0.096, -0.008, -0.016, 0.995);
4.33497;-2.302902;-2.975244;(0.092, 1.677, 0.470);(-0.096, -0.008, -0.015, 0.995);
4.37547;-2.318684;-2.964473;(0.092, 1.677, 0.469);(-0.095, -0.008, -0.015, 0.995);
4.40539;-2.524231;-2.801539;(0.092, 1.677, 0.468);(-0.094, -0.008, -0.015, 0.995);
4.44565;-2.588324;-2.835908;(0.093, 1.677, 0.468);(-0.094, -0.007, -0.015, 0.995);
4.47509;-2.588065;-2.905194;(0.093, 1.677, 0.467);(-0.094, -0.007, -0.015, 0.995);
4.50486;-2.467483;-2.978673;(0.093, 1.677, 0.467);(-0.094, -0.007, -0.016, 0.995);
4.54718;-2.628024;-3.344429;(0.093, 1.677, 0.467);(-0.094, -0.007, -0.016, 0.995);
4.57488;-3.010733;-7.278564;(0.093, 1.677, 0.467);(-0.094, -0.008, -0.017, 0.995);
4.60408;-3.014536;-7.367923;(0.094, 1.677, 0.468);(-0.094, -0.008, -0.017, 0.995);
4.63175;-2.930588;-7.452024;(0.094, 1.677, 0.468);(-0.094, -0.008, -0.017, 0.995);
4.66141;-3.085785;-7.485041;(0.094, 1.677, 0.468);(-0.094, -0.008, -0.017, 0.995);
4.70412;-3.12326;-7.509916;(0.094, 1.676, 0.468);(-0.094, -0.007, -0.017, 0.995);
4.74572;-3.149491;-7.470076;(0.094, 1.676, 0.468);(-0.093, -0.006, -0.018, 0.996);
4.77520;-3.174038;-7.500702;(0.094, 1.676, 0.469);(-0.092, -0.005, -0.018, 0.996);
4.84028;-3.06644;-7.616044;(0.094, 1.675, 0.470);(-0.092, -0.005, -0.018, 0.996);
4.88966;-3.020133;-7.665726;(0.093, 1.675, 0.471);(-0.092, -0.005, -0.019, 0.996);
4.93094;-2.910785;-7.973194;(0.093, 1.675, 0.473);(-0.093, -0.005, -0.019, 0.995);
4.96142;-3.014985;-7.972668;(0.093, 1.675, 0.473);(-0.093, -0.006, -0.019, 0.995);
5.00411;-3.138935;-8.070846;(0.093, 1.675, 0.474);(-0.093, -0.006, -0.019, 0.995);
5.06045;-3.200727;-8.135056;(0.093, 1.675, 0.474);(-0.093, -0.005, -0.019, 0.995);
5.10399;-3.532679;-8.467966;(0.093, 1.675, 0.473);(-0.093, -0.003, -0.019, 0.995);
5.14599;-3.454054;-8.576915;(0.093, 1.674, 0.474);(-0.094, -0.003, -0.020, 0.995);
5.19028;-3.394382;-8.502541;(0.093, 1.674, 0.475);(-0.094, -0.002, -0.020, 0.995);
5.23335;-3.3111;-8.500696;(0.093, 1.675, 0.474);(-0.094, -0.003, -0.020, 0.995);
5.27542;-3.147375;-8.429512;(0.094, 1.675, 0.474);(-0.095, -0.003, -0.020, 0.995);
5.32453;-3.18965;-8.38586;(0.094, 1.675, 0.473);(-0.095, -0.003, -0.020, 0.995);
5.36765;-3.233318;-8.353601;(0.094, 1.675, 0.473);(-0.094, -0.003, -0.020, 0.995);
5.41547;-3.245043;-8.285921;(0.094, 1.675, 0.473);(-0.094, -0.002, -0.020, 0.995);
5.45255;-3.116972;-8.218767;(0.093, 1.674, 0.474);(-0.094, -0.002, -0.021, 0.995);
5.49440;-3.105506;-8.216178;(0.093, 1.674, 0.475);(-0.094, -0.003, -0.020, 0.995);
5.54511;-3.021711;-8.086719;(0.093, 1.674, 0.474);(-0.094, -0.003, -0.021, 0.995);
