Saccade_Number;Start_Time;Left-Right_Saccade;Radial_Saccade;StartPosition_x;StartPosition_y;HeadsetNormedStartPosition_x;HeadsetNormedStartPosition_y;EndPosition_x;EndPosition_y;HeadsetNormedEndPosition_x;HeadsetNormedEndPosition_y;Saccade_Duration;Saccade_Magnitude;messages;
88;24.433;1;1;-3.74;2.92;8.93;2.70;4.645;1.635;17.280;1.346;0.059;8.49;
89;24.962;0;1;-10.81;9.38;1.73;8.96;-20.636;13.051;-8.057;12.632;0.128;10.49;
90;25.113;1;0;-23.72;14.15;-11.11;13.74;-29.930;13.922;-17.299;13.510;0.034;6.21;
91;25.411;0;0;-37.58;10.28;-24.13;9.97;-39.106;9.396;-25.368;9.109;0.039;1.76;
92;25.505;0;0;-42.25;5.54;-28.35;5.27;-43.006;2.458;-28.878;2.204;0.057;3.18;
93;25.770;1;0;-37.80;2.74;-23.89;2.53;2.743;7.020;16.572;6.811;0.121;40.76;
94;26.294;1;1;-7.94;6.17;5.42;5.87;-28.544;1.112;-15.084;0.898;0.143;21.22;
95;26.647;0;0;-39.90;-1.57;-26.16;-1.77;-41.954;-4.325;-28.203;-4.540;0.031;3.44;
96;26.962;1;0;-29.89;-4.57;-16.11;-4.62;1.595;-0.989;15.220;-0.947;0.171;31.69;
97;27.350;1;0;4.86;-1.72;18.18;-1.61;10.905;-3.593;24.200;-3.476;0.083;6.33;
98;27.648;1;0;2.02;-5.31;15.32;-5.21;-24.445;-9.971;-10.975;-9.846;0.115;26.87;
99;28.110;0;0;-36.91;-14.13;-23.07;-13.99;-38.299;-15.678;-24.366;-15.578;0.021;2.09;
100;28.307;1;0;-23.25;-15.00;-9.29;-14.95;4.329;-12.359;18.236;-12.304;0.115;27.71;
101;28.778;1;0;-0.67;-17.42;13.01;-17.04;-5.782;-19.009;7.885;-18.619;0.056;5.35;
102;28.925;1;0;-11.99;-21.01;1.68;-20.55;-26.237;-22.679;-12.506;-22.164;0.092;14.35;
103;29.203;0;0;-31.50;-22.20;-17.47;-21.65;-31.521;-22.184;-17.469;-21.641;0.030;0.03;
104;29.445;1;0;-26.23;-23.96;-12.06;-23.38;-0.005;-21.670;14.145;-21.031;0.134;26.32;
105;29.866;0;0;-6.73;-27.32;7.23;-26.54;-13.609;-30.519;0.387;-29.712;0.082;7.59;
106;29.972;0;0;-16.86;-34.33;-2.85;-33.48;-16.870;-34.340;-2.869;-33.453;0.035;0.02;
107;30.161;0;0;-21.93;-33.72;-7.87;-32.82;-31.186;-29.595;-17.025;-28.689;0.060;10.13;
108;30.249;0;0;-35.53;-27.37;-21.34;-26.44;-35.872;-26.720;-21.655;-25.748;0.032;0.73;
109;30.430;0;0;-41.31;-23.67;-27.08;-22.01;-45.059;-18.979;-30.830;-16.689;0.037;6.00;
110;30.492;1;0;-48.51;-12.64;-34.31;-9.87;-48.638;-12.648;-34.536;-9.446;0.033;0.12;
111;30.564;0;0;-36.26;-25.97;-22.43;-21.78;-36.228;-26.110;-22.694;-21.021;0.055;0.14;
112;30.641;0;0;-35.29;-28.41;-22.04;-22.41;-34.949;-29.204;-22.093;-22.356;0.037;0.86;
113;30.905;0;0;-31.87;-28.45;-23.03;-25.25;-31.377;-26.898;-22.803;-25.150;0.026;1.63;
