Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
1.96864;Origin: (0.276, 1.589, 0.353), Dir: (0.017, 0.039, 0.999);Origin: (0.214, 1.588, 0.345), Dir: (-0.400, 0.292, 0.869);(0.245, 1.588, 0.349);(-0.156, -0.062, -0.004, 0.986);
1.99709;Origin: (0.274, 1.589, 0.348), Dir: (0.012, 0.078, 0.997);Origin: (0.212, 1.586, 0.340), Dir: (-0.410, 0.316, 0.855);(0.243, 1.588, 0.344);(-0.175, -0.066, 0.007, 0.982);
2.02511;Origin: (0.272, 1.590, 0.346), Dir: (0.007, 0.100, 0.995);Origin: (0.210, 1.586, 0.337), Dir: (-0.418, 0.329, 0.847);(0.241, 1.588, 0.341);(-0.185, -0.069, 0.015, 0.980);
2.06087;Origin: (0.270, 1.590, 0.343), Dir: (0.000, 0.119, 0.993);Origin: (0.208, 1.585, 0.335), Dir: (-0.427, 0.339, 0.838);(0.239, 1.588, 0.339);(-0.194, -0.072, 0.021, 0.978);
2.13791;Origin: (0.267, 1.590, 0.342), Dir: (-0.010, 0.135, 0.991);Origin: (0.205, 1.585, 0.333), Dir: (-0.436, 0.350, 0.829);(0.236, 1.587, 0.337);(-0.202, -0.077, 0.024, 0.976);
2.15690;Origin: (0.263, 1.590, 0.342), Dir: (-0.014, 0.138, 0.990);Origin: (0.201, 1.586, 0.333), Dir: (-0.439, 0.354, 0.825);(0.232, 1.588, 0.337);(-0.203, -0.079, 0.022, 0.976);
2.18062;Origin: (0.261, 1.590, 0.342), Dir: (-0.025, 0.139, 0.990);Origin: (0.199, 1.586, 0.332), Dir: (-0.445, 0.361, 0.820);(0.230, 1.588, 0.337);(-0.205, -0.084, 0.014, 0.975);
2.21245;Origin: (0.261, 1.589, 0.343), Dir: (-0.028, 0.140, 0.990);Origin: (0.199, 1.585, 0.333), Dir: (-0.446, 0.364, 0.818);(0.230, 1.587, 0.338);(-0.205, -0.086, 0.011, 0.975);
2.28566;Origin: (0.261, 1.587, 0.343), Dir: (-0.030, 0.138, 0.990);Origin: (0.199, 1.584, 0.333), Dir: (-0.446, 0.365, 0.817);(0.230, 1.586, 0.338);(-0.204, -0.086, 0.007, 0.975);
2.30693;Origin: (0.262, 1.587, 0.341), Dir: (-0.032, 0.136, 0.990);Origin: (0.200, 1.585, 0.330), Dir: (-0.446, 0.365, 0.817);(0.231, 1.586, 0.336);(-0.203, -0.087, 0.005, 0.975);
2.33853;Origin: (0.265, 1.588, 0.337), Dir: (-0.034, 0.129, 0.991);Origin: (0.203, 1.585, 0.326), Dir: (-0.447, 0.361, 0.818);(0.234, 1.587, 0.332);(-0.200, -0.088, 0.003, 0.976);
2.36838;Origin: (0.267, 1.588, 0.336), Dir: (-0.034, 0.127, 0.991);Origin: (0.205, 1.586, 0.326), Dir: (-0.448, 0.359, 0.819);(0.236, 1.587, 0.331);(-0.199, -0.088, 0.003, 0.976);
2.43582;Origin: (0.268, 1.588, 0.337), Dir: (-0.036, 0.126, 0.991);Origin: (0.206, 1.586, 0.326), Dir: (-0.449, 0.359, 0.818);(0.237, 1.587, 0.332);(-0.199, -0.089, 0.002, 0.976);
2.45668;Origin: (0.268, 1.588, 0.336), Dir: (-0.039, 0.124, 0.991);Origin: (0.206, 1.586, 0.325), Dir: (-0.451, 0.358, 0.818);(0.237, 1.587, 0.331);(-0.198, -0.090, 0.001, 0.976);
